Mês;Identificação;Nome do Produto;Un;Quantidade;Custo Unitário;Custo Total;Valor Unitário;Valor Total;Margem
Janeiro;1467;GOLA AD. 50%ALG/50%POLI - AZUL MARINHO;PC;854;0,87;742,98;2,33;1.988,20;62,63
Janeiro;1476;GOLA AD. 50%ALG/50%POLI - AZUL MOTORISTA;PC;241;0,85;204,85;2,28;549,3;62,71
Janeiro;1002;GOLA AD. 50%ALG/50%POLI - AZUL ROYAL;PC;437;0,84;367,08;2,37;1.035,30;64,54
Janeiro;1527;GOLA AD. 50%ALG/50%POLI - BEGE;PC;8;0,74;5,92;2,5;20;70,4
Janeiro;996;GOLA AD. 50%ALG/50%POLI - BRANCO;PC;379;0,8185;310,24;2,33;884,9;64,94
Janeiro;1528;GOLA AD. 50%ALG/50%POLI - CINZA CHUMBO;PC;122;0,85;103,7;2,46;299,7;65,4
Janeiro;1524;GOLA AD. 50%ALG/50%POLI - CINZA PRATA;PC;30;1,08;32,4;2,33;70;53,71
Janeiro;1001;GOLA AD. 50%ALG/50%POLI - GRAFITE;PC;101;1,12;113,12;2,3;232,3;51,3
Janeiro;1471;GOLA AD. 50%ALG/50%POLI - PRETO;PC;680;1,1403;775,43;2,34;1.588,70;51,19
Janeiro;1525;GOLA AD. 50%ALG/50%POLI - VERDE AGUA;PC;3;0,72;2,16;2,5;7,5;71,2
Janeiro;1526;GOLA AD. 50%ALG/50%POLI - VERDE BANDEIRA;PC;141;0,86;121,26;2,42;341,3;64,47
Janeiro;1474;GOLA AD. 50%ALG/50%POLI - VERDE MUSGO;PC;396;0,89;352,44;2,34;926,3;61,95
Janeiro;1466;GOLA AD. 50%ALG/50%POLI - VERMELHO;PC;148;0,87;128,76;2,42;358,2;64,05
Janeiro;1603;GOLA AD. 50%ALG/50%POLI - VINHO;PC;111;0,92;102,12;2,31;256,6;60,2
Janeiro;1574;GOLA AD.65%POLI / 35%VISC - AM CANARIO;PC;94;0,88;82,72;2,43;228,7;63,83
Janeiro;1545;GOLA AD.65%POLI / 35%VISC - AZ MOTORISTA;PC;56;0,82;45,92;2,39;133,6;65,63
Janeiro;1559;GOLA AD.65%POLI / 35%VISC - AZUL BEBE;PC;60;0,84;50,4;2,35;141;64,26
Janeiro;1537;GOLA AD.65%POLI / 35%VISC - AZUL MARINHO;PC;631;0,9164;578,28;2,39;1.509,80;61,7
Janeiro;1536;GOLA AD.65%POLI / 35%VISC - AZUL ROYAL;PC;466;0,9115;424,78;2,32;1.081,90;60,74
Janeiro;1534;GOLA AD.65%POLI / 35%VISC - BRANCO;PC;139;0,84;116,76;2,39;332,1;64,84
Janeiro;1652;GOLA AD.65%POLI / 35%VISC - CAQUI;PC;45;0,83;37,35;2,4;108;65,42
Janeiro;1648;GOLA AD.65%POLI / 35%VISC - CINZA CHUMBO;PC;39;0,91;35,49;2,48;96,9;63,37
Janeiro;1576;GOLA AD.65%POLI / 35%VISC - CINZA PRATA;PC;97;0,86;83,42;2,38;230,7;63,84
Janeiro;1601;GOLA AD.65%POLI / 35%VISC - FERRARI;PC;359;0,93;333,87;2,33;837,5;60,13
Janeiro;1649;GOLA AD.65%POLI / 35%VISC - GRAFITE;PC;134;0,92;123,28;2,35;315,2;60,89
Janeiro;1584;GOLA AD.65%POLI / 35%VISC - JADE;PC;9;0,89;8,01;2,3;20,7;61,3
Janeiro;1651;GOLA AD.65%POLI / 35%VISC - LARANJA;PC;214;1,09;233,26;2,37;508,2;54,1
Janeiro;1553;GOLA AD.65%POLI / 35%VISC - MESCLA;PC;785;0,8133;638,5;2,19;1.718,00;62,83
Janeiro;1583;GOLA AD.65%POLI / 35%VISC - PETROLEO;PC;40;0,99;39,6;2,43;97;59,18
Janeiro;1535;GOLA AD.65%POLI / 35%VISC - PRETO;PC;494;0,9489;468,79;2,35;1.161,50;59,64
Janeiro;1539;GOLA AD.65%POLI / 35%VISC - VD BANDEIRA;PC;14;1,13;15,82;2,4;33,6;52,92
Janeiro;1581;GOLA AD.65%POLI / 35%VISC - VERDE FOLHA;PC;700;0,99;693;2,38;1.668,00;58,45
Janeiro;1555;GOLA AD.65%POLI / 35%VISC - VERDE MUSGO;PC;93;0,93;86,49;2,4;223,6;61,32
Janeiro;1538;GOLA AD.65%POLI / 35%VISC - VERMELHO;PC;8;0,9;7,2;2,41;19,3;62,69
Janeiro;1600;GOLA AD.65%POLI / 35%VISC - VINHO;PC;15;1,11;16,65;2,5;37,5;55,6
Janeiro;1660;GOLA PV RETILINEA  - CZ PRATA;PC;39;0,88;34,32;2,37;92,3;62,82
Janeiro;1251;HELANCA 100% POLIESTER - AMARELO OURO;KG;36,31;17,7099;643,05;30,53;1.108,49;41,99
Janeiro;1127;HELANCA 100% POLIESTER - AZUL MARINHO;KG;746,46;20,2426;15.110,30;31,38;23.421,32;35,48
Janeiro;1125;HELANCA 100% POLIESTER - AZUL ROYAL;KG;948,04;18,6925;17.721,28;29,79;28.242,95;37,25
Janeiro;1129;HELANCA 100% POLIESTER - BRANCA;KG;41,13;17,875;735,2;31,52;1.296,56;43,3
Janeiro;1580;HELANCA 100% POLIESTER - CHUMBO;KG;5;20,5;102,5;38,5;192,5;46,75
Janeiro;1253;HELANCA 100% POLIESTER - LARANJA;KG;1;20,53;20,53;38,5;38,5;46,68
Janeiro;1248;HELANCA 100% POLIESTER - PRETO;KG;260,87;20,6099;5.376,52;30,42;7.935,45;32,25
Janeiro;1249;HELANCA 100% POLIESTER - VERDE BANDEIRA;KG;398,07;21,3;8.478,91;31,64;12.595,56;32,68
Janeiro;1343;HELANCA 100% POLIESTER - VERDE MUSGO;KG;0,55;18,9818;10,44;42;23,1;54,81
Janeiro;1130;HELANCA 100% POLIESTER - VERMELHO;KG;132,14;21,36;2.822,52;34,91;4.612,42;38,81
Janeiro;1543;MALHA ESPORTIVA 100% POLIESTER -AMARELO;KG;13,35;24,8314;331,5;40,45;539,99;38,61
Janeiro;1502;MALHA ESPORTIVA 100% POLIESTER -BANDEIRA;KG;17,52;28,92;506,68;41,5;727;30,31
Janeiro;1146;MALHA ESPORTIVA 100% POLIESTER -BRANCO;KG;2488,75;19,5711;48.707,76;33,53;83.442,24;41,63
Janeiro;1529;MALHA ESPORTIVA 100% POLIESTER -LARANJA;KG;61,05;28,9199;1.765,56;39,46;2.408,81;26,7
Janeiro;1530;MALHA ESPORTIVA 100% POLIESTER -LIMAO;KG;46,87;22,8602;1.071,46;43,29;2.028,88;47,19
Janeiro;1573;MALHA ESPORTIVA 100% POLIESTER -MARINHO;KG;144,94;23,8155;3.451,82;38,24;5.542,49;37,72
Janeiro;1577;MALHA ESPORTIVA 100% POLIESTER -PINK;KG;3,37;26,181;88,23;38;128,06;31,1
Janeiro;1565;MALHA ESPORTIVA 100% POLIESTER -PRATA;KG;75,92;23,08;1.752,24;36,95;2.805,00;37,53
Janeiro;1501;MALHA ESPORTIVA 100% POLIESTER -PRETO;KG;235,47;21,7901;5.130,93;39,48;9.296,74;44,81
Janeiro;1156;MALHA ESPORTIVA 100% POLIESTER -ROYAL;KG;98,17;22,91;2.249,08;38,39;3.768,36;40,32
Janeiro;1500;MALHA ESPORTIVA 100% POLIESTER -VERMELHO;KG;56,55;23,8198;1.347,01;39,17;2.214,99;39,19
Janeiro;1570;MEIA MALHA 100% POLIESTER - AM CANARIO;KG;164,74;20,3599;3.354,10;37,07;6.106,24;45,07
Janeiro;1568;MEIA MALHA 100% POLIESTER - AZ MARINHO;KG;566,25;20,2891;11.488,71;31,71;17.953,87;36,01
Janeiro;1571;MEIA MALHA 100% POLIESTER - AZ MOTORISTA;KG;124,22;20,8198;2.586,24;35,96;4.467,44;42,11
Janeiro;1567;MEIA MALHA 100% POLIESTER - AZUL ROYAL;KG;1132,37;20,6456;23.378,46;31,57;35.754,50;34,61
Janeiro;1588;MEIA MALHA 100% POLIESTER - BEGE;KG;19,79;20,0601;396,99;31,9;631,3;37,12
Janeiro;1312;MEIA MALHA 100% POLIESTER - BRANCA;KG;2554,12;16,6022;42.404,21;30,95;79.059,69;46,36
Janeiro;1572;MEIA MALHA 100% POLIESTER - CINZA PRATA;KG;167,62;20,69;3.468,06;32,94;5.521,08;37,19
Janeiro;1566;MEIA MALHA 100% POLIESTER - FERRARI;KG;172,85;21,9757;3.798,50;34,97;6.045,41;37,17
Janeiro;1596;MEIA MALHA 100% POLIESTER - LARANJA;KG;9,92;21,3709;212;40,27;399,44;46,93
Janeiro;1589;MEIA MALHA 100% POLIESTER - PEROLA;KG;15,35;21,4397;329,1;34,66;532,1;38,15
Janeiro;1587;MEIA MALHA 100% POLIESTER - PETROLEO;KG;69,18;27,1802;1.880,33;33,65;2.328,20;19,24
Janeiro;1579;MEIA MALHA 100% POLIESTER - PINK;KG;5,6;21,191;118,67;39,98;223,91;47
Janeiro;1563;MEIA MALHA 100% POLIESTER - PRETO;KG;255,03;21,6785;5.528,69;34,82;8.880,01;37,74
Janeiro;1646;MEIA MALHA 100% POLIESTER - ROSA BEBE;KG;24,98;21,1985;529,54;34,06;850,89;37,77
Janeiro;1647;MEIA MALHA 100% POLIESTER - ROYAL CLARO;KG;2,26;17,0398;38,51;18,75;42,38;9,13
Janeiro;1578;MEIA MALHA 100% POLIESTER - VERDE FOLHA;KG;333,17;23,4599;7.816,15;31,9;10.628,20;26,46
Janeiro;23;M/M 100% ALGODAO PENTEADA - AZ MARINHO;KG;3,15;26,7714;84,33;43,95;138,44;39,09
Janeiro;1326;M/M 100% ALGODAO PENTEADA - BRANCO;KG;73,07;22,9198;1.674,75;41,43;3.027,44;44,68
Janeiro;179;M/M 100% ALGODAO PENTEADA - PRETA;KG;29,81;26,8299;799,8;47,2;1.407,00;43,16
Janeiro;1551;MM 96% POLIESTER/4% ELASTANO - BRANCO;KG;52,47;26,5902;1.395,19;38,43;2.016,62;30,82
Janeiro;1475;M/M PIQUET 50%POL/50%ALG - AZ MOTORISTA;KG;84,58;27,9;2.359,79;44,13;3.732,72;36,78
Janeiro;1465;M/M PIQUET 50%POL/50%ALG - AZUL MARINHO;KG;189,35;27,84;5.271,51;48,07;9.102,01;42,08
Janeiro;1491;M/M PIQUET 50%POL/50%ALG - AZUL ROYAL;KG;116,45;29,6298;3.450,40;49,02;5.708,65;39,56
Janeiro;1522;M/M PIQUET 50%POL/50%ALG - BEGE;KG;2,5;18,98;47,45;55,9;139,75;66,05
Janeiro;172;M/M PIQUET 50%POL/50%ALG - BRANCO;KG;588,93;24,2595;14.287,17;42,78;25.193,09;43,29
Janeiro;1520;M/M PIQUET 50%POL/50%ALG - CINZA CHUMBO;KG;28,66;26,5101;759,78;51,3;1.470,27;48,32
Janeiro;42;M/M PIQUET 50%POL/50%ALG - GRAFITE;KG;11,05;33,8588;374,14;50,13;553,95;32,46
Janeiro;1470;M/M PIQUET 50%POL/50%ALG - PRETO;KG;114,25;26,3052;3.005,38;49,39;5.642,27;46,73
Janeiro;1521;M/M PIQUET 50%POL/50%ALG - VD BANDEIRA;KG;90,89;28,8098;2.618,53;52,42;4.764,63;45,04
Janeiro;1473;M/M PIQUET 50%POL/50%ALG - VERDE MUSGO;KG;106,36;27,59;2.934,48;48,9;5.200,53;43,57
Janeiro;1464;M/M PIQUET 50%POL/50%ALG - VERMELHO;KG;26,4;27,5397;727,05;49,94;1.318,46;44,86
Janeiro;1602;M/M PIQUET 50%POL/50%ALG - VINHO;KG;27,17;28,5697;776,24;46,84;1.272,56;39
Janeiro;1659;M/M PIQUET 65%POLI. 35%VISC - CZ PRATA;KG;15,8;26,3594;416,48;48,29;763,01;45,42
Janeiro;1552;M/M PIQUET 65%POLI. 35%VISC - MESCLA;KG;140,26;22,6689;3.179,54;46,62;6.538,83;51,37
Janeiro;1621;M/M PV 65%POLIEST. 35%VISC. - AM CANARIO;KG;232,43;25,46;5.917,68;39,91;9.277,23;36,21
Janeiro;1628;M/M PV 65%POLIEST. 35%VISC. - AM OURO;KG;74,9;24,8299;1.859,76;40,48;3.032,21;38,67
Janeiro;1607;M/M PV 65%POLIEST. 35%VISC. - AZ MARINHO;KG;2750,77;22,7824;62.669,15;38,86;106.901,09;41,38
Janeiro;1645;M/M PV 65%POLIEST. 35%VISC. - AZUL BEBE;KG;107,35;22,8899;2.457,24;36,04;3.868,43;36,48
